84|0.0000000000000009 -0.0000000000000014 0.0000000000000002 0.0000000000000009 -0.0000000126074626 0.0000000000000007 0.0000000000000000 -0.0000000000000009 -0.0000000000000009 0.0000000000000006 0.0138362888246775
32853|-0.0000000000000008 -0.0000000000000003 0.0000000000000003 0.0000000000000002 -0.0000000000000011 0.0000000000000008 0.0000000000000006 0.0000000000000007 -0.0000000000000003 -0.0000000000000006 -0.0027292319573462
32854|0.0000000000000005 0.0000000000000012 0.0000000000000008 0.0000000000000006 -0.0000000000000019 -0.0000000000000008 -0.0000000000000004 -0.0000000000000007 0.0000000000000003 -0.0000000000000007 -0.0087656546384096
32852|-0.0000000000000005 0.0000000000000002 -0.0000000000000006 -0.0000000000000002 0.0000000000000981 -0.0000000000000007 -0.0000000000000001 -0.0000000000000005 -0.0000000000000004 -0.0000000000000007 -0.0109997782856226
88|-0.0000000000000005 -0.0000000000000012 0.0000000000000002 -0.0000000000000001 -0.0000000000000008 0.0000000000000004 0.0000000000000004 -0.0000000000000006 0.0000000000000006 -0.0000000000000005 0.0032489714212716
32851|-0.0000000000000007 0.0000000000000012 -0.0000000000000010 0.0000000000000004 0.0000000044402135 0.0000000000000004 -0.0000000000000001 0.0000000000000004 0.0000000000000001 -0.0000000000000006 0.0085130929946899
32858|0.0000000000000007 -0.0000000000000005 -0.0000000000000003 0.0000000000000002 0.0000000000615557 0.0000000000000003 0.0000000000000003 0.0000000000000001 0.0000000000000000 -0.0000000000000008 -0.0051327385008335
93|-0.0000000000000009 -0.0000000000000001 -0.0000000000000001 0.0000000000000008 0.0000000000002862 -0.0000000000000008 -0.0000000000000007 0.0000000000000003 -0.0000000000000005 -0.0000000000000002 -0.0046201590448618
32862|-0.0000000000000014 0.0000000000000004 0.0000000000000007 -0.0000000000000007 -0.0000000000003562 0.0000000000000003 0.0000000000000003 -0.0000000000000015 0.0000000000000002 0.0000000000000000 -0.0246378611773252
95|-0.0000000000000002 -0.0000000000000004 0.0000000000000010 -0.0000000000000003 -0.0000000000000001 -0.0000000000000000 0.0000000000000007 0.0000000000000005 0.0000000000000011 0.0000000000000003 0.0001061648363248
32864|0.0000000000000003 0.0000000000000009 0.0000000000000007 -0.0000000000000002 0.0000000000000003 -0.0000000000000003 -0.0000000000000004 0.0000000000000016 -0.0000000000000002 0.0000000000000005 -0.0001337264839094
